square_contain_id	geometry
196502.0	POINT (3373613.912147108 8387005.734441526)
215631.0	POINT (3375547.49830634 8384002.731956549)
85574.0	POINT (3364574.83628639 8404325.681581844)
134707.0	POINT (3372998.213761723 8396653.886545502)
315558.0	POINT (3367276.560327942 8368314.930651156)
162747.0	POINT (3374266.929601414 8392256.073692797)
222609.0	POINT (3372657.744512889 8382847.836320774)
218838.0	POINT (3377743.932047234 8383420.951875346)
281294.0	POINT (3380754.127451679 8373717.225835211)
336696.0	POINT (3379043.030504791 8364945.985354924)
129563.0	POINT (3368179.3874693 8397490.359795431)
146829.0	POINT (3374938.680879244 8394732.440334858)
161656.0	POINT (3392539.420529907 8392438.176576182)
255072.0	POINT (3370186.76104056 8377775.781182554)
187608.0	POINT (3376031.343530488 8388337.087738951)
216962.0	POINT (3381188.157092377 8383731.963465557)
220058.0	POINT (3372328.4584201 8383233.905894895)
141614.0	POINT (3363031.649217765 8395558.501469119)
196630.0	POINT (3386403.475236042 8386947.259506161)
80680.0	POINT (3384834.648594758 8405161.705896843)
178702.0	POINT (3377216.896107436 8389787.703377636)
187121.0	POINT (3391027.774625618 8388422.592309626)
322602.0	POINT (3370979.242614218 8367160.191984785)
60203.0	POINT (3375558.919686096 8408394.169805827)
132049.0	POINT (3362025.619947224 8397035.54840029)
215594.0	POINT (3371867.376128256 8383947.457764361)
211092.0	POINT (3367565.979872055 8384638.370527551)
209284.0	POINT (3377816.706206991 8384935.461978128)
288394.0	POINT (3390048.941430253 8372578.433041538)
208557.0	POINT (3368775.167803289 8385095.386546477)
167189.0	POINT (3372501.261279791 8391607.996194046)
316358.0	POINT (3383581.526144433 8368217.386920042)
156926.0	POINT (3365388.942116412 8393166.410840536)
155009.0	POINT (3364833.40055008 8393418.161625108)
174860.0	POINT (3375258.16781782 8390319.605572134)
208607.0	POINT (3373867.230780358 8385044.799146147)
320791.0	POINT (3381041.21536453 8367437.083509666)
212603.0	POINT (3391227.506338048 8384491.950777668)
221273.0	POINT (3366393.796765951 8383069.968843564)
191481.0	POINT (3381143.963254532 8387749.857958809)
229662.0	POINT (3377248.249843143 8381729.389121095)
218210.0	POINT (3378630.035193948 8383572.013008552)
199090.0	POINT (3377642.868677162 8386532.441856861)
214382.0	POINT (3377979.929367715 8384189.618670175)
211940.0	POINT (3388645.07871936 8384608.420300226)
211213.0	POINT (3379592.99950647 8384627.147509902)
318180.0	POINT (3374750.655012394 8367818.786384692)
184970.0	POINT (3367048.355371816 8388723.273130743)
72955.0	POINT (3376773.118074214 8406338.239228247)
214381.0	POINT (3377885.307800541 8384165.180052656)
146856.0	POINT (3377595.922943581 8394727.017687773)
337934.0	POINT (3375418.467884562 8364799.737055005)
193368.0	POINT (3378770.010659381 8387439.294643878)
349908.0	POINT (3362501.975963384 8362903.96214602)
192747.0	POINT (3380333.223959683 8387583.210480716)
240483.0	POINT (3376443.295811099 8380104.324980066)
343069.0	POINT (3379287.04282861 8363960.350052295)
66079.0	POINT (3389775.241645392 8407446.630277377)
238135.0	POINT (3396433.361356516 8380447.010978485)
172965.0	POINT (3376813.301104201 8390693.170618217)
264051.0	POINT (3376336.486128912 8376348.268881418)
201609.0	POINT (3374743.129636705 8386206.454189109)
219626.0	POINT (3392872.25084604 8383338.75814763)
136573.0	POINT (3368561.921604113 8396359.136790875)
281293.0	POINT (3380662.729095833 8373708.446136858)
190219.0	POINT (3382287.971397516 8387974.294439903)
102337.0	POINT (3384744.781427376 8401737.414760455)
175483.0	POINT (3373865.939474264 8390270.443154089)
356645.0	POINT (3399222.039701732 8361871.359175503)
355829.0	POINT (3381360.454928934 8361924.601774449)
178873.0	POINT (3394353.172993884 8389757.666735996)
123924.0	POINT (3377600.600198966 8398389.711546993)
156391.0	POINT (3375576.213269178 8393244.327891493)
160127.0	POINT (3366996.703128088 8392680.276839124)
351977.0	POINT (3378345.50257548 8362608.797141148)
167819.0	POINT (3371840.950684517 8391429.545624468)
244899.0	POINT (3372076.656770948 8379387.875963625)
202322.0	POINT (3382365.394103363 8386062.235453344)
107224.0	POINT (3363774.191899374 8400925.960643098)
216894.0	POINT (3374385.42301 8383778.61633607)
195217.0	POINT (3372522.137135219 8387201.0502676)
206071.0	POINT (3375007.698963535 8385513.868562937)
302260.0	POINT (3375180.244174264 8370412.432976866)
242981.0	POINT (3371383.136343305 8379683.175039202)
167202.0	POINT (3373817.693606955 8391560.448216915)
160211.0	POINT (3375452.605208664 8392656.907557359)
185153.0	POINT (3385292.776667691 8388783.735146077)
267438.0	POINT (3396522.355344945 8375854.231504944)
213725.0	POINT (3376035.483001413 8384247.366201222)
139907.0	POINT (3383387.251736454 8395837.204081569)
71732.0	POINT (3381807.928012279 8406544.792120159)
175472.0	POINT (3372736.781351352 8390244.005426738)
138480.0	POINT (3368082.513441285 8396074.163564244)
211941.0	POINT (3388729.996399543 8384585.301896307)
199089.0	POINT (3377564.534364873 8386524.614581358)
153775.0	POINT (3368866.166410843 8393698.718486814)
177407.0	POINT (3375083.272530188 8389972.987748476)
354310.0	POINT (3356816.980973006 8362203.204556359)
78691.0	POINT (3377013.828584012 8405430.166310506)
342463.0	POINT (3382396.641484429 8364062.999942563)
134691.0	POINT (3371399.834266925 8396646.083404757)
185658.0	POINT (3372083.830198935 8388676.095429949)
314920.0	POINT (3367261.725992787 8368343.296255577)
161399.0	POINT (3366826.64889134 8392454.915763795)
67260.0	POINT (3380524.692927249 8407242.419677561)
245036.0	POINT (3385781.199282508 8379394.53671463)
199093.0	POINT (3377940.967545938 8386529.436146882)
199722.0	POINT (3377170.512982562 8386484.247458822)
155714.0	POINT (3371648.985154098 8393409.82263096)
